Site,Dist,Site name,Start,End,Lat,Lon,STA
4047,4,TABBA TABBA,1924,1976,-20.8333,118.9,WA
4048,4,YANDEEARRA,1902,1999,-21.2853,118.4042,WA
4049,4,SPLIT ROCK,1927,1949,-21.6,119.6,WA
4050,4,YALGOORA,1937,1949,-21.6,119.7,WA
4051,4,BALLA BALLA,1898,1927,-20.6,117.8,WA
4052,4,RPF 80 MILE,1909,1943,-20.5667,120.65,WA
4053,4,CONDON,1889,1927,-20,119.4,WA
4054,4,COSSACK,1881,..,-20.6783,117.1892,WA
4055,4,CROYDON,1900,1946,-21.1,117.8,WA
4056,4,KANGAN,1935,1945,-21.1,118.5167,WA
4057,4,LALLA ROOKH,1917,1973,-20.8833,119.15,WA
4058,4,LOCHNAVAR,1912,1919,-20.7,121.0167,WA
4059,4,MALLINA,1900,..,-20.8822,118.0308,WA
4060,4,MIDDLE CREEK,1904,1915,-21.8,120.3,WA
4061,4,MOUNT SATIRIST,1912,1947,-21.1,117.9833,WA
4062,4,MYADEE,1913,1942,-20.1,119.75,WA
4063,4,POONDAWINDIE,1930,1938,-22.2,120.2,WA
4064,4,POONDINIA,1913,1936,-20.45,118.8,WA
4065,4,RPF 672 MILE,1913,1947,-22.7,121.1,WA
4066,4,RPF 798 MILE,1913,1942,-21.2,121.2,WA
4067,4,SHAW RIVER,1917,1942,-20.55,119.3,WA
4068,4,WALLAL DOWNS,1897,..,-19.7789,120.6417,WA
4069,4,WARRAWOONA,1899,1914,-21.3,119.8,WA
4070,4,COONGAN HOTEL,1895,1931,-20.9,119.7,WA
4071,4,PYRAMID 1,1885,1894,-21.05,117.45,WA
4072,4,ROSEMARY ISLAND,1963,1964,-20.4833,116.5333,WA
4073,4,NICOL PADDOCK,1967,1968,-20.9,116.9167,WA
4074,4,GOLDSWORTHY,1966,1992,-20.3422,119.5206,WA
4075,4,HARDING RIVER 1,1967,1989,-21.1389,117.085,WA
4076,4,HARDING RIVER 2,1967,1989,-21.175,117.2208,WA
4077,4,BARRAMINE,1914,1918,-20.7167,120.85,WA
4078,4,COONGAN 2,1973,1973,-20.7,119.35,WA
4079,4,YANDEE,1971,1982,-21.3625,118.8783,WA
4080,4,CALLAWA,1904,1980,-20.635,120.5,WA
4081,4,CORUNNA DOWNS AIRSTRIP,1943,1945,-21.4333,119.7833,WA
4082,4,CAPE LAMBERT,1971,2004,-20.615,117.1633,WA
4083,4,KARRATHA AERO,1971,..,-20.7097,116.7742,WA
4084,4,SHAY GAP,1972,1993,-20.4958,120.1672,WA
4085,4,TAMBOURAH,1898,1901,-21.75,119.1833,WA
4086,4,SHERLOCK,1956,..,-20.8956,117.6447,WA
4087,4,HARDING RIVER 3,1967,1989,-21.2333,117.05,WA
4088,4,NORTH POLE,1977,1984,-21.1467,119.4333,WA
4089,4,WICKHAM,1981,2010,-20.6744,117.1428,WA
4090,4,ROEBOURNE AERO,2001,..,-20.7594,117.1583,WA
4091,4,KING BAY SUPPLY BASE,1988,1997,-20.5978,116.7764,WA
4092,4,HARDING DAM,1983,2005,-20.9786,117.0953,WA
4093,4,STRELLEY PUMPING STATION,1983,2001,-20.3292,119.1878,WA
4094,4,NIMINGARRA MINE,1989,1994,-20.4119,120.0103,WA
4095,4,LEGENDRE ISLAND,1992,..,-20.3583,116.8431,WA
4096,4,MOUNT DIVIDE,1988,1998,-22.4272,120.8578,WA
4097,4,DAMPIER PORT,1991,2001,-20.6175,116.7517,WA
4098,4,DE GREY BOREFIELD,1990,2001,-20.2906,119.28,WA
4099,4,KARRATHA TOWN,1992,1994,-20.7381,116.8489,WA
4100,4,BEDOUT ISLAND,1993,..,-19.5894,119.1,WA
4101,4,R 1 BOREHOLE,1972,1983,-20.3167,119.3333,WA
4102,4,MEENTHEENA,1993,..,-21.2669,120.4544,WA
4103,4,NIFTY COPPER MINE,1997,..,-21.6525,121.5592,WA
4104,4,PORT HEDLAND MILOS AWS COMPARISON,1998,2001,-20.3736,118.6297,WA
4105,4,NULLAGINE NORTH,1999,2000,-21.8603,120.1592,WA
4106,4,MARBLE BAR,2000,..,-21.1756,119.7497,WA
5000,5,BOOLALOO,1911,1951,-22.5833,115.85,WA
5001,5,COOLAWANYAH,1923,..,-21.8047,117.8056,WA
5002,5,DUCK CREEK,1946,1998,-22.515,116.5825,WA
5003,5,ETHEL CREEK,1907,..,-22.8972,120.1733,WA
5004,5,EXMOUTH GULF,1915,..,-22.3761,114.1105,WA
5005,5,HAMERSLEY,1912,..,-22.2794,117.6775,WA
5006,5,KOOLINE,1896,..,-22.9119,116.2903,WA
5007,5,LEARMONTH AIRPORT,1945,..,-22.2406,114.0967,WA
5008,5,MARDIE,1885,..,-21.1906,115.9797,WA
5009,5,MARILLANA,1936,..,-22.6331,119.4081,WA
5010,5,MARRILLA,1927,2001,-22.9742,114.4597,WA
5011,5,MEILGA,1914,1958,-22.7,115.8,WA
5012,5,MILLSTREAM,1897,..,-21.5906,117.0656,WA
5013,5,MINDEROO,1912,..,-21.9969,115.0463,WA
5014,5,MOUNT FLORANCE,1886,..,-21.7869,117.8647,WA
5015,5,MULGA DOWNS,1897,2019,-22.1039,118.4703,WA
5016,5,ONSLOW,1886,2012,-21.6364,115.1117,WA
5017,5,ONSLOW AIRPORT,1940,..,-21.6689,115.1092,WA
5018,5,PEEDAMULLAH,1895,1973,-21.85,115.6167,WA
5019,5,WARRAMBOO,1961,1963,-21.6333,115.85,WA
5020,5,NINGALOO,1898,..,-22.6975,113.6744,WA
5021,5,RANGE,1927,1968,-22.2667,115.4167,WA
5022,5,RED HILL,1898,..,-21.975,116.0653,WA
5023,5,ROY HILL,1900,1998,-22.6217,119.9564,WA
5024,5,VLAMINGH HEAD,1913,1997,-21.8067,114.1072,WA
5025,5,WARRIE,1927,1964,-22.4,119.5333,WA
5026,,WITTENOOM,1949,2019,-22.2425,118.3358,WA
5027,5,WITTENOOM GORGE,1949,1950,-22.3167,118.3167,WA
5028,5,WYLOO,1903,..,-22.6906,116.2328,WA
5029,5,YALLEEN,1930,..,-21.6767,116.3928,WA
5030,5,YANREY,1897,..,-22.5064,114.7944,WA
5031,5,YARDIE CREEK,1915,1982,-21.8875,114.0092,WA
5032,5,YARRALOOLA HOMESTEAD,1898,..,-21.5703,115.8786,WA
5033,5,KOORDARRIE,1915,..,-22.3419,114.9319,WA
5034,5,MOUNT STUART,1899,..,-22.4558,116.0508,WA
5035,5,TAMBREY,1896,1949,-21.6,117.6,WA
5036,5,GLEN FLORRIE STATION,1921,..,-22.9367,115.9825,WA
5037,5,KANGIANGI,1954,1972,-21.7,117.45,WA
5038,5,CHINGINARRA,1890,1909,-21.3667,115.85,WA
5039,5,LEARMONTH ARTESIAN,1916,1922,-22.6,114.4,WA
5040,5,BALMORAL,1912,..,-21.1594,116.1197,WA
5041,5,COORARA STATION,1907,1948,-22.6,116.1,WA
5042,5,DEEPDALE 1,1911,1929,-21.7,116.1,WA
5043,5,DIOMENOR,1933,1942,-21.9,115.2,WA
5044,5,FORTESCUE,1887,1927,-21.0583,116.1111,WA
5045,5,GIRALIA,1913,..,-22.685,114.3673,WA
5046,5,HARDY JUNCTION,1888,1936,-22.7,116.1,WA
5047,5,KERDIADARY,1901,1910,-22.25,119.1,WA
5048,5,NANUTARRA,1898,1997,-22.5403,115.4981,WA
5049,5,TABLELAND,1907,1915,-21.6,117.6,WA
5050,5,MOUNT ENID,1917,1931,-21.6,116.4,WA
5051,5,EXMOUTH TOWN,1964,..,-21.9303,114.126,WA
5052,5,KARRATHA STATION,1900,..,-20.8831,116.6725,WA
5053,5,EAST INTERCOURSE ISLAND,1966,1997,-20.6553,116.6789,WA
5054,5,DEVILS BROOK,1966,1968,-20.8667,116.45,WA
5055,5,WITTENOOM AERO,1964,2010,-22.2275,118.345,WA
5056,5,BLACK HILLS,1967,1976,-21.2333,117.05,WA
